gen,nevals,min,avg,max,std,best,traps
0,75,2825.302294482522,4089.6197116027142,11747.360996681422,1357.2458598004944,68,"[114, 157, 196, 24, 212]"
1,52,2825.302294482522,3632.4326459285476,6929.118838945388,717.7137892523203,66,"[114, 157, 196, 24, 212]"
2,38,2825.302294482522,3342.5797254095846,5971.074003888756,461.7041295937894,5,"[114, 157, 196, 24, 212]"
3,46,2825.302294482522,3574.249152606444,14380.88140492146,1507.398301101432,12,"[114, 157, 196, 24, 212]"
4,29,2825.302294482522,3300.2251337298103,5546.662960459952,509.2123459907229,5,"[114, 157, 196, 24, 212]"
5,36,2825.302294482522,3388.306657367042,8125.813703757437,848.2904732584589,2,"[114, 157, 196, 24, 212]"
6,42,2798.004209306916,3491.6373119167756,8410.045876807946,1054.78792673258,65,"[174, 157, 75, 24, 212]"
7,41,2798.004209306916,3127.729610029776,7834.65737424912,625.6668201560045,20,"[174, 157, 75, 24, 212]"
8,42,2798.004209306916,3176.8067800273393,6155.76464693346,654.6088369577163,5,"[174, 157, 75, 24, 212]"
9,43,2798.004209306916,3225.3182145127134,19507.95477353799,1922.1520515308328,0,"[174, 157, 75, 24, 212]"
10,36,2798.004209306916,3162.440542114709,9660.464733893414,988.7137243684017,10,"[174, 157, 75, 24, 212]"
11,46,2798.004209306916,3102.033362126151,5112.178750874252,493.85592522452794,1,"[174, 157, 75, 24, 212]"
12,41,2798.004209306916,3200.030733496645,9390.685094765551,976.5309087696734,0,"[174, 157, 75, 24, 212]"
13,52,2798.004209306916,3171.8495974125094,7007.910293759037,690.3742791318367,0,"[174, 157, 75, 24, 212]"
14,44,2798.004209306916,3158.8716654562163,8568.857845369104,892.8001206666581,0,"[174, 157, 75, 24, 212]"
15,44,2798.004209306916,3231.8522102550082,14965.000686461133,1628.430215703306,6,"[174, 157, 75, 24, 212]"
16,54,2798.004209306916,3111.5329539905492,7049.606351875913,620.5278285368272,0,"[174, 157, 75, 24, 212]"
17,40,2798.004209306916,3024.620621812527,5181.276748569323,437.3479300546924,0,"[174, 157, 75, 24, 212]"
18,42,2798.004209306916,3065.70727599918,6445.996344108225,546.6086934661238,0,"[174, 157, 75, 24, 212]"
19,46,2798.004209306916,2962.935010170277,4244.022049565595,311.99554732357325,0,"[174, 157, 75, 24, 212]"
20,38,2798.004209306916,3131.3253476436234,13187.053854697606,1254.4680226113694,1,"[174, 157, 75, 24, 212]"
21,36,2798.004209306916,3080.474390188974,5683.950370456219,601.2553798841798,0,"[174, 157, 75, 24, 212]"
22,44,2798.004209306916,3261.765070592661,16381.533394217968,1617.224706613734,1,"[174, 157, 75, 24, 212]"
23,37,2798.004209306916,2973.496719626555,4590.748714085107,339.96579734060964,0,"[174, 157, 75, 24, 212]"
24,50,2798.004209306916,3155.579454531784,5947.776006749816,616.4468258719005,0,"[174, 157, 75, 24, 212]"
25,39,2798.004209306916,2978.8901283071345,4270.99304383403,346.56556211296254,1,"[174, 157, 75, 24, 212]"
26,41,2798.004209306916,3053.7556830636054,4543.072892830198,457.85387211453934,1,"[174, 157, 75, 24, 212]"
27,44,2798.004209306916,3412.3128820417614,24618.162212316303,2611.6734942023636,0,"[174, 157, 75, 24, 212]"
28,42,2798.004209306916,3053.659678506792,5571.165343160405,496.21123978405683,1,"[174, 157, 75, 24, 212]"
29,38,2798.004209306916,3089.062327766587,8619.55782729602,836.7418434441821,0,"[174, 157, 75, 24, 212]"
30,42,2798.004209306916,3102.119294183982,10072.80483212384,912.8243792872908,1,"[174, 157, 75, 24, 212]"
31,50,2788.8556281510473,3098.882909724391,4288.717728322125,417.65358825830054,49,"[196, 157, 75, 24, 212]"
32,39,2767.3321119487823,3152.5867730196774,7289.417871091903,718.0445106443851,6,"[208, 157, 75, 24, 212]"
33,48,2767.3321119487823,3141.426479802254,10246.85853196897,944.363277912331,21,"[208, 157, 75, 24, 212]"
34,45,2767.3321119487823,3133.609366592976,9232.947624700666,849.0175393257831,1,"[208, 157, 75, 24, 212]"
35,41,2767.3321119487823,2948.283050147159,4086.13165283469,323.9756321688933,7,"[208, 157, 75, 24, 212]"
36,40,2767.3321119487823,3148.688532096798,11161.453330820108,1059.7863103436025,0,"[208, 157, 75, 24, 212]"
37,37,2767.3321119487823,3021.9697280141286,6117.807442041916,506.8022139205529,0,"[208, 157, 75, 24, 212]"
38,45,2767.3321119487823,3002.2706466067084,9809.847556105095,859.4061384982283,1,"[208, 157, 75, 24, 212]"
39,46,2767.3321119487823,3051.6862765233986,5231.324501293191,547.5225667237028,0,"[208, 157, 75, 24, 212]"
40,36,2767.3321119487823,2976.07320483844,5700.412630593256,479.6031063097228,2,"[208, 157, 75, 24, 212]"
41,49,2767.3321119487823,3101.4041479343264,6905.4882792828,805.8573027349497,0,"[208, 157, 75, 24, 212]"
42,38,2767.3321119487823,3261.1376844223028,24436.31890899393,2505.3868625017276,0,"[208, 157, 75, 24, 212]"
43,39,2767.2779628748003,3179.119562505807,7776.654696093194,896.6616742998641,64,"[205, 157, 75, 24, 212]"
44,38,2767.2779628748003,2912.196511050714,4206.088655568512,310.36504790998765,27,"[205, 157, 75, 24, 212]"
45,41,2767.3321119487823,3053.0352592576082,5611.9780633607415,582.6830069224945,0,"[208, 157, 75, 24, 212]"
46,38,2767.3321119487823,3179.7995643778904,12836.104314961869,1273.752118081426,2,"[208, 157, 75, 24, 212]"
47,39,2767.3321119487823,3114.525353129179,8468.346341471053,899.6300636059891,3,"[208, 157, 75, 24, 212]"
48,33,2767.3321119487823,2988.6983821954145,5996.198582233231,524.9690191986263,0,"[208, 157, 75, 24, 212]"
49,47,2767.3321119487823,3037.054804848156,7087.8095477622655,655.5646991283766,0,"[208, 157, 75, 24, 212]"
